Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Shanghai,China,2022-08-28 08:33:03,31.202,121.4491,63817,595,,,,256.59309807708973,,,0.9323534481407776,15624,CHN,,,222,0
Shanxi,China,2022-08-28 08:33:03,37.5777,112.2922,462,0,,,,1.3231901737033651,,,0.0,15625,CHN,,,34,0
Sichuan,China,2022-08-28 08:33:03,30.6171,102.7103,3052,3,,,,3.647451314711397,,,0.0982961992136304,15626,CHN,,,389,0
Tianjin,China,2022-08-28 08:33:03,39.3054,117.323,2162,3,,,,15.59208565348544,,,0.1387604070305272,15627,CHN,,,81,0
Tibet,China,2022-08-28 08:33:03,31.6927,88.0924,596,0,,,,16.337271456374552,,,0.0,15628,CHN,,,595,0
Unknown,China,2022-08-28 08:33:03,,,708981,0,,,,,,,0.0,15699,CHN,,,29539,0
Xinjiang,China,2022-08-28 08:33:03,41.1129,85.2401,1101,3,,,,4.258801280889606,,,0.2724795640326976,15629,CHN,,,93,0
Yunnan,China,2022-08-28 08:33:03,24.974,101.487,2271,2,,,,4.810495191442987,,,0.0880669308674592,15630,CHN,,,64,0
Zhejiang,China,2022-08-28 08:33:03,29.1832,120.0934,3380,1,,,,5.234824630587099,,,0.029585798816568,15631,CHN,,,182,0
Amazonas,Colombia,2022-08-28 08:33:03,-1.4429,-71.5724,7797,265,,,,10180.313099792398,,,3.3987431063229447,17001,COL,,,137,0
Antioquia,Colombia,2022-08-28 08:33:03,7.1986,-75.3412,942417,18465,,,,14708.943294487895,,,1.959323738854456,17002,COL,,,3628,70
Arauca,Colombia,2022-08-28 08:33:03,7.0762,-70.7105,16920,549,,,,6453.729202743217,,,3.24468085106383,17003,COL,,,213,5
Atlantico,Colombia,2022-08-28 08:33:03,10.6966,-74.8741,415605,10197,,,,16391.331629801734,,,2.453531598513011,17004,COL,,,851,24
Bolivar,Colombia,2022-08-28 08:33:03,8.6704,-74.03,202672,3263,,,,9790.397611721117,,,1.6099905265650905,17005,COL,,,232,4
Boyaca,Colombia,2022-08-28 08:33:03,5.4545,-73.362,129165,2848,,,,10610.115527166628,,,2.2049316765377616,17006,COL,,,910,30
Caldas,Colombia,2022-08-28 08:33:03,5.2983,-75.2479,119260,2559,,,,11946.847248448545,,,2.145732014086869,17007,COL,,,501,18
